,city,description,image,link,price,bedrooms,rooms,size,type,zone
31,Ablon-sur-Seine (94480),,,https://www.seloger.com/annonces/achat/maison/ablon-sur-seine-94/173148363.htm,393 000 €,4,6,95,Maison/Villa,
32,Ablon-sur-Seine (94480),,,https://www.seloger.com/annonces/achat/maison/ablon-sur-seine-94/173167159.htm,580 000 €,6,7,205,Maison/Villa,
33,Ablon-sur-Seine (94480),,,https://www.seloger.com/annonces/achat/maison/ablon-sur-seine-94/172466619.htm,383 000 €,3,5,110,Maison/Villa,
34,Villeneuve-le-Roi,Votre agence Laforêt de Juvisy sur Orge vous propose: Cette maison Bourgeoise avec vue sur La Seine. La première habitation s,,https://www.seloger.com/168536093/detail.htm,549 000 €,6,11,211,Maison/Villa,
35,Ablon-sur-Seine (94480),,,https://www.seloger.com/annonces/achat/maison/ablon-sur-seine-94/174004423.htm,330 000 €,3,4,93,Maison/Villa,
36,Ablon-sur-Seine (94480),,,https://www.seloger.com/annonces/achat/maison/ablon-sur-seine-94/174297741.htm,312 000 €,3,4,88,Maison/Villa,
37,Ablon-sur-Seine (94480),,,https://www.seloger.com/annonces/achat/maison/ablon-sur-seine-94/172836511.htm,369 000 €,3,4,80,Maison/Villa,
38,Ablon-sur-Seine (94480),,,https://www.seloger.com/annonces/achat/maison/ablon-sur-seine-94/174248419.htm,469 500 €,4,6,125,Maison/Villa,
39,Ablon-sur-Seine (94480),,,https://www.seloger.com/annonces/achat/maison/ablon-sur-seine-94/166259303.htm,270 000 €,3,5,74,Maison/Villa,
40,Ablon-sur-Seine (94480),,,https://www.seloger.com/annonces/achat/maison/ablon-sur-seine-94/173424307.htm,344 000 €,2,3,73,Maison/Villa,
41,Ablon-sur-Seine (94480),,,https://www.seloger.com/annonces/achat/maison/ablon-sur-seine-94/174220011.htm,304 000 €,3,4,100,Maison/Villa,
42,Ablon-sur-Seine (94480),,,https://www.seloger.com/annonces/achat/maison/ablon-sur-seine-94/173064991.htm,495 000 €,2,6,100,Maison/Villa,
43,Ablon-sur-Seine (94480),,,https://www.seloger.com/annonces/achat/maison/ablon-sur-seine-94/172179397.htm,320 900 €,3,6,83,Maison/Villa,
44,Ablon-sur-Seine (94480),,,https://www.seloger.com/annonces/achat/maison/ablon-sur-seine-94/174264937.htm,380 000 €,4,5,113,Maison/Villa,
45,Ablon-sur-Seine (94480),,,https://www.seloger-construire.com/annonces/achat/maison-terrain/ablon-sur-seine-94/146393715/#?cmp=INTSL_ListToDetail,345 000 €,4,7,100,Maison/Villa,
